id,station_id,dist
ASN00027045,94170,258.4285833
ASN00028004,94276,623.02350506
ASN00028007,94187,388.99589637
ASN00028008,94186,752.38769816
ASN00029141,94335,569.95193029
ASN00029162,94332,869.07635254
ASN00031198,94284,344.57693247
ASN00031210,94286,936.44912694
ASN00032004,94292,587.50328532
ASN00032021,94291,506.50018728
ASN00032078,95291,332.99079038
ASN00032178,94294,569.69067695
ASN00033002,95295,557.5168629
ASN00033094,94366,610.43518608
ASN00033255,94368,353.25037478
ASN00035027,94363,882.34188866
ASN00035065,95362,659.05176707
ASN00035069,94355,204.20820863
ASN00035282,94525,493.59219371
ASN00036007,94350,977.70695791
ASN00037010,94255,868.64125037
ASN00038003,94333,890.7168277
ASN00038024,94488,431.75726043
ASN00039059,94388,349.17581771
ASN00039083,94374,443.25895672
ASN00039123,94380,485.12718414
ASN00039314,94384,893.90218371
ASN00040040,94585,188.44618303
ASN00040043,94594,417.08525396
ASN00040836,95591,885.96819463
ASN00040847,94577,295.73057063
ASN00040852,94581,315.58870425
ASN00040861,94569,967.53925377
ASN00040910,94568,848.92408053
ASN00041023,94542,742.15757274
ASN00041044,94555,676.8263961
ASN00041100,95533,521.81361464
ASN00041103,94551,433.09078536
ASN00041340,95573,598.76680537
ASN00043015,94511,855.61036681
ASN00043030,94515,463.54041079
ASN00043034,94516,689.97353635
ASN00043035,94521,997.76282432
ASN00045025,94492,537.55088987
ASN00046129,94699,586.14580087
ASN00047007,94689,592.18288497
ASN00047019,94694,743.08301514
ASN00048079,94497,365.45071325
ASN00048239,95703,875.07404561
ASN00050014,94707,300.68104817
ASN00051140,94718,316.31988167
ASN00052026,94715,435.54443637
ASN00053027,94526,0.59183524
ASN00055023,94742,593.85675277
ASN00055054,95762,806.48774135
ASN00056011,94778,988.15795172
ASN00056032,94556,357.65821499
ASN00056238,95773,501.60608825
ASN00056242,94541,764.72530023
ASN00057095,94587,569.39729361
ASN00058130,94571,797.0963252
ASN00059030,94790,724.05156213
ASN00059040,94791,717.02395116
ASN00060030,94784,357.4777081
ASN00061051,94756,806.84302877
ASN00061223,95768,765.02744648
ASN00061273,94770,574.99436323
ASN00061363,95758,516.22506234
ASN00061371,94733,848.65281409
ASN00062100,94754,497.08846165
ASN00063226,94741,344.987794
ASN00063231,94726,317.3324486
ASN00063292,94743,416.13298226
ASN00065111,94720,570.77260006
ASN00066037,94767,956.68981487
ASN00066131,95764,697.23871948
ASN00067033,95753,250.42723877
ASN00067111,94764,823.6393743
ASN00068072,94750,593.85051018
ASN00068102,94747,785.24514896
ASN00068188,94748,336.07193541
ASN00069017,94939,706.17556359
ASN00069022,95935,811.61565093
ASN00069132,94927,610.77362157
ASN00069134,94941,980.50149829
ASN00069137,94934,866.43107345
ASN00069139,94931,257.02435507
ASN00069147,95930,860.30982427
ASN00069148,94937,569.94568151
ASN00070015,94925,0.83699739
ASN00070080,94735,533.39278331
ASN00070108,95723,0.58329674
ASN00070328,94929,366.67951389
ASN00071003,95912,457.55123409
ASN00071041,95908,496.5493832
ASN00072160,94896,137.55963541
ASN00072161,94916,810.02032917
ASN00073128,94890,431.93538047
ASN00074048,95706,0.08463676
ASN00074221,94706,886.80807332
ASN00075032,94700,962.32026599
ASN00075039,95707,371.97816071
ASN00075041,95704,151.16060315
ASN00075174,94705,353.52134784
ASN00076047,94831,388.1062868
ASN00078037,94841,0.54857331
ASN00080023,94844,710.56671323
ASN00081003,94855,428.95223474
ASN00082002,94884,889.80557022
ASN00082137,94895,929.33508724
ASN00082138,94889,506.37335476
ASN00083068,94911,366.4523185
ASN00083085,94906,524.03969023
ASN00084070,94932,454.59730565
ASN00085096,94893,563.79441561
ASN00085106,95884,736.12896699
ASN00085298,94907,869.50361761
ASN00086127,95881,917.86363876
ASN00086256,94872,467.51782563
ASN00086344,94853,866.2915895
ASN00087117,94856,741.27356197
ASN00087163,94857,764.17428781
ASN00088023,94882,689.5508413
ASN00088043,94849,689.40677825
ASN00088085,95853,469.52198866
ASN00088162,94860,414.83046761
ASN00089085,94834,294.10582035
ASN00089105,94835,367.77828054
ASN00089111,94852,855.78241236
ASN00090048,94824,626.90496487
ASN00090083,95855,897.35847559
ASN00090171,94828,496.23280057
ASN00090184,94826,554.37337966
ASN00091025,94960,786.61633643
ASN00091104,94968,204.98306102
ASN00091107,95957,318.07665298
ASN00091126,95960,290.30988929
ASN00091237,94969,195.93293794
ASN00091269,95968,504.25606553
ASN00092003,95989,526.22262496
ASN00092027,95984,484.16743603
ASN00092038,94981,475.44020516
ASN00092115,94983,415.40311452
ASN00092123,95980,432.02504521
ASN00093014,94971,112.93355752
ASN00094008,94975,510.39790355
ASN00094041,94962,871.37207328
ASN00094137,94966,714.67440953
ASN00094157,94978,728.6403813
ASN00096071,94976,643.70393144
ASN00097011,95954,457.9614354
ASN00097053,95953,382.9073549
ASN00097075,95952,785.88267454
ASN00098018,94851,433.28918481
ASN00099022,95978,687.64638849
AU000005010,11012,341.15517293
AU000006306,11150,0.08482851
AU000015410,11146,660.23417088
AUM00011155,11155,569.38927357
AUM00011212,11212,300.71968456
AUM00011231,11231,706.34132767
AYM00088963,88963,325.79215211
AYM00088968,88968,526.65997993
AYM00089034,89034,276.67785942
AYM00089053,89053,358.84895799
AYM00089055,89055,635.94959492
AYM00089057,89057,154.59684786
AYM00089058,89058,368.6597162
AYM00089061,89061,493.86046296
AYM00089062,89062,614.22125711
AYM00089063,89069,140.04564874
AYM00089251,89251,334.05826617
AYM00089512,89512,678.41587474
AYM00089514,89514,334.34021711
AYM00089532,89532,113.90106371
AYM00089542,89542,840.92947578
AYM00089564,89564,233.70918548
AYM00089571,89571,770.80633041
AYM00089573,89573,354.28433998
AYM00089592,89592,543.23265804
AYM00089606,89606,458.94448834
AYM00089642,89642,373.34122669
AYM00089657,89657,13.07797639
AYM00089662,89662,0.43451147
AYW00057801,89083,295.38321884
AYW00068201,89125,395.13015449
AYW00090001,89009,0.0
BB000078954,78954,982.12817745
BC000068026,68026,629.96513086
BC000068032,68032,333.79297201
BC000068226,68226,514.25059354
BC000068328,68328,0.0
BC004612080,68322,721.91525451
BC005847300,68244,546.31219267
BC008382520,68024,285.1914085
BC008948490,68054,114.38092589
BC012192590,68029,332.0012069
BDM00078016,78016,561.55674769
BE000006447,6447,279.92539854
BF000078073,78073,651.92559021
BGM00041859,41859,700.45597834
BGM00041883,41883,251.93088031
BGM00041923,41917,381.95353983
BKM00014542,13242,286.86579024
BKM00014648,13348,324.06104681
BKM00014654,13354,447.03553172
BLM00085140,85140,323.15031063
BLM00085195,85195,461.56628383
BLM00085244,85244,535.94904758
BMM00048008,48008,652.06360764
BMM00048112,48112,467.24105468
BN000005335,65335,0.0
BN000005344,65344,982.74158446
BN000065306,65306,26.53358197
BNM00065330,65330,463.61797677
BNM00065338,65338,532.06634718
BOM00026554,26554,285.51011856
BOM00026643,26643,981.857882
BOM00026645,26645,704.18545383
BOM00026653,26653,145.70667149
BOM00026659,26659,265.61972144
BOM00026668,26668,493.78149083
BOM00026745,26745,27.83290942
BOM00026864,26864,991.1476377
BOM00026878,26878,890.68106318
BOM00026887,26887,449.76451647
BOM00026923,26923,918.52429589
BOM00026938,26938,403.040958
BOM00026941,26941,129.38374884
BOM00026974,26974,552.58159466
BOM00033008,33008,495.69930986
BOM00033019,33019,444.60167684
BOM00033027,33027,564.93120625
BOM00033105,33105,539.19022953
BR000082400,82400,595.5589446
BR000082704,82704,644.51052202
BR000249000,82263,0.0
BR000747000,82764,921.96323614
BR000748000,82659,0.0868648
BR000956000,82965,331.80807999
BR001036026,83097,346.71728867
BR001138014,83192,466.47054632
BR001140016,83186,508.01464094
BR001452000,83319,586.30269761
BR001543013,83395,331.99892543
BR001546001,83383,462.12552859
BR001548003,83376,321.06377431
BR001552000,83368,873.09562002
BR001748003,83522,459.70848386
BR001841005,83543,840.62422402
BR001844000,83536,458.62252426
BR001846000,83531,320.4017887
BR001940004,83597,315.08153874
BR001941020,83595,457.70863175
BR001943002,83589,492.08003832
BR001946002,83579,495.72612673
BR002041004,83646,6.05612157
BR002144014,83687,794.7971355
BR002145002,83683,456.04226206
BR002157004,83654,454.76774183
BR002241001,83700,419.17856482
BR002242031,83718,668.00895604
BR002244041,83739,726.25372707
BR002245081,83736,712.86613322
BR002452048,83783,334.07275758
BR002548005,83844,370.99595011
BR002649005,83872,297.76991689
BR002752004,83883,445.91085046
BR002957005,83928,922.693073
BR003252001,83995,627.27287575
BR008161001,82042,474.53635029
BR008250003,82030,663.35850831
BR00B6-0360,83623,456.48507594
BR00C4-0170,83669,308.46130785
BR00C5-0040,83676,455.13141185
BR00D4-0750,83726,237.0005345
BR00D8-0390,83716,247.98907196
BR00E2-0220,83784,260.19760951
BR00E3-0070,83781,380.7519364
BR00E3-0520,83780,875.08647774
BR00E4-0560,83857,332.30308598
BR00E5-0140,83773,150.50765079
BR00F4-0030,83821,332.30613642
BR027794310,82392,749.02546358
BR027865460,82480,470.16558687
BR028946430,82493,470.99344819
BR036150060,82564,331.75378038
BR036190520,82571,280.77250959
BR036456090,82765,935.52521252
BR037041370,82579,332.67076083
BR037335990,82678,632.21656033
BR037404930,82771,331.77351723
BR037597890,82753,29.91853975
BR037657520,82879,0.06328451
BR037835390,82976,467.87484723
BR037953910,82979,338.29921018
BR038014410,82586,0.08717299
BR038143420,82590,691.16316356
BR038192160,82596,309.20188973
BR038196570,82598,348.82816741
BR038217420,82686,482.95323083
BR038416420,82784,174.45648121
BR038484280,82795,831.74689316
BR038536790,82789,331.15251785
BR038710390,82886,468.28793155
BR038777060,82893,459.0345649
BR038837530,82986,93.90904727
BR038983570,82993,347.70382666
BR047099650,83088,466.80926722
BR047231730,83179,466.29483786
BR047266270,83182,620.09815891
BR047403040,83236,0.0
BR047571250,83242,664.33171605
BR047606760,83286,0.29768337
BR047635180,83288,728.38469739
BR047776420,83292,331.8791921
BR057253450,83441,461.72863719
BR057324290,83437,992.28488856
BRM00082024,82024,480.05127853
BRM00082098,82099,248.61606855
BRM00082106,82106,733.29132374
BRM00082113,82113,654.10301322
